Time (s),X (g),Y (g),Z (g)
4.054635525,0.01044222,-0.001624187,0.01429409
4.059653282,-0.001305912,0.01239915,0.02396108
4.064671040,-0.01109263,-0.01980024,0.0118437
4.069689751,0.003267063,-0.006554022,0.01101527
4.074707985,0.005156673,0.01621382,0.02308592
4.079725742,-5.526049E-05,0.005898724,0.01944898
4.084743500,-0.004709717,-0.005832038,0.01584923
4.089762211,-0.001147291,-0.002837581,0.01429463
4.094780445,-0.0007736534,-0.0001661067,0.015198
4.099798203,-0.0001624101,0.002348679,0.00924573
4.104815960,0.001749485,0.001787022,0.01374863
4.109834671,-0.003328299,0.004173855,0.01546883
4.114852905,-0.00155273,-0.001087017,0.01832709
4.119870663,0.003594824,-0.003605283,0.0155606
4.124888420,-0.002195222,1.66574E-05,0.01317474
4.129907131,-0.001604304,0.008494334,0.013403
4.134924889,0.003345076,-0.002201585,0.01750121
4.139943123,0.008929306,0.003955015,0.01341365
4.144960880,-0.01541591,-0.009787073,0.01549801
4.149979591,-0.004135923,-0.007324876,0.01596476
4.154997349,0.003872099,0.00526029,0.0200482
4.160015583,0.001343203,0.002802398,0.0153367
4.165034294,-0.001470407,-0.006939832,0.01110203
4.170052052,-0.0001723943,-0.0004889311,0.01663262
4.175069809,-0.005501366,-0.001399823,0.0164795
4.180088043,-0.002604191,-0.003104892,0.01087488
4.185106754,-0.003137825,-0.002481388,0.01203581
4.190124512,-0.006172601,-0.002549531,0.01596804
4.195142269,0.00315381,-0.001153723,0.01432566
4.200160503,-0.002869022,0.002495768,0.01255813
4.205179215,-0.001161355,0.00433896,0.01408587
4.210196972,-0.002504799,-0.001420376,0.01576198
4.215214729,-0.004321082,0.001427921,0.01026032
4.220232964,-0.004765567,0.0006251361,0.0116494
4.225251198,0.001372768,0.00225491,0.01862634
4.230269432,-0.0004855208,-0.006454346,0.01168887
4.235287190,0.0007510367,0.001712659,0.01587031
4.240305424,-0.001320656,-0.003953922,0.01835499
4.245323658,-0.003786525,-0.001954643,0.0138156
4.250341892,-0.0002721162,-0.002681344,0.01089003
4.255359650,-0.000961659,0.005259376,0.01176696
4.260377884,-0.001716438,0.006675019,0.01494446
4.265396118,-0.00515468,-0.006809376,0.01533883
4.270414352,0.003270266,-0.002066191,0.01656883
4.275432110,0.001067473,0.005799711,0.02382917
4.280450344,-0.001411556,-0.003409915,0.01413372
4.285468578,-0.0001103296,-0.003738637,0.01468263
4.290486813,-0.002332492,0.005776235,0.01695319
4.295504570,-0.005611639,0.0001705736,0.01160495
4.300522327,-0.00383342,0.003622607,0.01697486
4.305541039,-0.002758201,-0.0009095892,0.013206
4.310559273,-0.003654581,-0.0004584622,0.01351224
4.315577030,0.004669601,0.0003245468,0.01449305
4.320594788,0.0009318138,0.007168619,0.01322166
4.325613499,-0.003274378,0.002999725,0.01686029
4.330631733,-0.003209788,-0.004995008,0.01314789
4.335649490,0.001831952,0.00848029,0.01520769
4.340667248,0.003914128,-0.0007463677,0.01502623
4.345685959,0.002571194,-0.005438089,0.008143391
4.350704193,-0.001142123,0.005619439,0.01440508
4.355721951,-0.002032152,0.003123813,0.01473847
4.360739708,0.003303775,-0.003804618,0.01481702
4.365758419,-3.420096E-05,0.00275968,0.01447669
4.370776177,-0.0003027706,0.004501222,0.01634212
4.375794411,-0.001082619,-0.0002902406,0.01445808
4.380812168,-0.0008440679,0.0009095757,0.01256613
4.385830879,0.002588981,0.004508148,0.01198097
4.390848637,-0.00360446,0.001411238,0.01104163
4.395866871,-0.001626887,-0.003369533,0.01684334
4.400884628,0.0001338576,0.002832561,0.01490435
4.405903339,0.00578432,0.004388445,0.01583404
4.410921097,-0.005046789,-0.001801579,0.01016815
4.415939331,-0.0002343194,-0.0002667604,0.01407595
4.420957089,0.00228487,0.009938262,0.01521844
4.425975800,0.0007591667,0.005298677,0.0177857
4.430993557,-0.004787145,-0.004033098,0.008378398
4.436011791,0.0003028372,-0.004272599,0.0104212
4.441030502,-0.001363855,-0.0003443519,0.01403018
4.443538666,-0.003249232,-0.0006068801,0.01332094
4.448558807,-0.0001133624,0.003641452,0.01951599
4.453575611,-0.0005601984,-0.001409644,0.01596766
4.458593369,0.001889526,0.001464478,0.01436703
4.463611126,-0.00362969,0.000460545,0.01378812
4.468629360,-0.004252759,2.615293E-05,0.01726921
4.473648071,-0.001916043,0.003894127,0.0129213
